C:\PCS\PCS64e\Curves\2022'12'26-17'12'20-TupyS-1_3.s2k.out																	
MIN	109.133	1141.37	0	0.024871	-0.00149865	0.813705	0.0308023	-1.33344	0	-0.974204	0	1.06853	-2.08023	0	0	0.652466	0
																	
C:\PCS\PCS64e\Curves\2022'12'27-01'32'50-TupyS-1_2.s2k.out																	
tick	time	temp	der	der2	der3	power	powder	quality	q-der	q-der2	q-der3	q-pow	q-powder	q-ToTAN	q-ToTBP	P-ratio	Wiggle
PMAX	108.188	1147.92	-0.13374	0.00793738	-0.00729971	0.543323	0	-0.712296	0.174389	0	-0.259941	-0.396739	1.4	-0.00549167	-0.967412	-0.36312	-0.293982
DN	108.498	1147.87	-0.134407	0	-0.0053529	0.549932	-0.00323835	-1.02001	0.9839	0	1.45884	0.749662	0.507124	0.205383	-4.39048	-0.534442	0
DN	134.27	1143.05	-0.162544	0	-0.00124656	0.67663	0.0123513	6.6667	0.561841	0	3.10138	1.38315	-0.176345	-0.277287	2.14363	-0.0696727	0
PUP	138.256	1142.4	-0.178931	-0.00835605	-0.000888522	0.714378	0.00913873	1.11181	0.0710686	0	1.0223	0.657512	-0.327745	0.00711074	0.166885	0.338291	-0.823608
																	
C:\PCS\PCS64e\Curves\2022'12'27-01'27'20-TupyS-1_1.s2k.out																	
tick	time	temp	der	der2	der3	power	powder	quality	q-der	q-der2	q-der3	q-pow	q-powder	q-ToTAN	q-ToTBP	P-ratio	Wiggle
DN	112.148	1142.87	-0.24022	0	-0.00309356	0.718068	0.0187991	3.30918	-0.603301	0	2.36258	1.59034	-0.659933	0.231183	0.231774	0.156538	0
PUP	121.747	1140	-0.411378	-0.0225864	0.0016558	0.821323	0.00530911	2.80717	-0.161378	0	0.868839	1.08529	0.438178	-0.00721895	0.166797	0.781367	-0.364712
																	
C:\PCS\PCS64e\Curves\2022'12'27-01'37'44-TupyS-1_3.s2k.out																	
tick	time	temp	der	der2	der3	power	powder	quality	q-der	q-der2	q-der3	q-pow	q-powder	q-ToTAN	q-ToTBP	P-ratio	Wiggle
PMAX	98.971	1148.73	-0.270854	0.0110767	-0.00674875	0.552212	0	-0.456735	-0.0312811	0	-0.14975	-0.334519	1.4	-0.0192013	-0.786244	-0.200489	-0.335251
DN	99.9422	1148.46	-0.269734	0	-0.00390576	0.554809	-0.00463852	-2.66377	-1.04601	0	2.03769	0.774044	0.402111	0.457308	-4.88611	-0.402801	0
PUP	102.276	1147.82	-0.282777	-0.00106521	-0.00178563	0.543996	-0.00323746	0.698574	-0.0327771	0	0.842874	-0.0240154	0.852508	-0.0296649	-0.52819	-0.178011	-0.20415
DN	120.1	1143.01	-0.22568	0	-0.00076243	0.666986	0.00950415	5.26242	-0.385206	0	3.29503	1.33493	0.0371889	-0.088105	1.11185	-0.0432693	0
